day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes,Region
14,8,2012,33,66,14,0.0,87.0,21.7,,5.7,27.2,,fire   ,0
15,8,2012,36,55,13,0.3,82.4,15.6,,3.7,22.0,,fire   ,0
16,8,2012,36,61,18,0.3,80.2,11.7,,2.8,17.6,,fire   ,0
17,8,2012,37,52,18,0.0,89.3,16.0,,9.7,22.9,,fire   ,0
18,8,2012,36,54,18,0.0,89.4,20.0,,9.7,27.5,,fire   ,0
19,8,2012,35,62,19,0.0,89.4,23.2,,9.7,31.3,,fire   ,0
20,8,2012,35,68,19,0.0,88.3,25.9,,8.8,34.7,,fire   ,0
21,8,2012,36,58,19,0.0,88.6,29.6,,9.2,38.8,,fire   ,0
22,8,2012,36,55,18,0.0,89.1,33.5,,9.9,43.1,,fire   ,0
23,8,2012,36,53,16,0.0,89.5,37.6,,10.4,47.5,,fire,0
24,8,2012,34,64,14,0.0,88.9,40.5,,9.0,50.9,,fire   ,0
25,8,2012,35,60,15,0.0,88.9,43.9,,8.2,54.7,,fire,0
26,8,2012,31,78,18,0.0,85.8,45.6,,4.7,57.1,,fire ,0
27,8,2012,33,82,21,0.0,84.9,47.0,,4.4,59.3,,fire,0
28,8,2012,34,64,16,0.0,89.4,50.2,,7.3,62.9,,fire ,0
29,8,2012,35,48,18,0.0,90.1,54.2,,12.5,67.4,,fire   ,0
30,8,2012,35,70,17,0.8,72.7,25.2,,1.7,37.4,,not fire   ,0
31,8,2012,28,80,21,16.8,52.5,8.7,,0.6,8.3,,not fire,0
1,9,2012,25,76,17,7.2,46.0,1.3,,0.2,1.8,,not fire ,0
2,9,2012,22,86,15,10.1,30.5,0.7,,0.0,1.1,,not fire,0
3,9,2012,25,78,15,3.8,42.6,1.2,,0.1,1.7,,not fire   ,0
4,9,2012,29,73,17,0.1,68.4,1.9,,1.4,2.9,,not fire   ,0
5,9,2012,29,75,16,0.0,80.8,3.4,,2.8,5.1,,fire   ,0
6,9,2012,29,74,19,0.1,75.8,3.6,,2.1,5.6,,not fire   ,0
7,9,2012,31,71,17,0.3,69.6,3.2,,1.5,5.1,,not fire   ,0
8,9,2012,30,73,17,0.9,62.0,2.6,,1.1,3.0,,not fire   ,0
9,9,2012,30,77,15,1.0,56.1,2.1,,0.7,2.6,,not fire   ,0
10,9,2012,33,73,12,1.8,59.9,2.2,,0.7,2.7,,not fire   ,0
11,9,2012,30,77,21,1.8,58.5,1.9,,1.1,2.4,,not fire   ,0
12,9,2012,29,88,13,0.0,71.0,2.6,,1.2,3.7,,not fire   ,0
13,9,2012,25,86,21,4.6,40.9,1.3,,0.1,1.8,,not fire   ,0
14,9,2012,22,76,26,8.3,47.4,1.1,,0.4,1.6,,not fire   ,0
15,9,2012,24,82,15,0.4,44.9,0.9,,0.2,1.4,,not fire   ,0
16,9,2012,30,65,14,0.0,78.1,3.2,,1.9,4.2,,not fire   ,0
17,9,2012,31,52,14,0.0,87.7,6.4,,6.2,7.7,,fire   ,0
18,9,2012,32,49,11,0.0,89.4,9.8,,6.8,11.3,,fire   ,0
19,9,2012,29,57,14,0.0,89.3,12.5,,7.8,14.2,,fire   ,0
20,9,2012,28,84,18,0.0,83.8,13.5,,4.5,16.0,,fire,0
21,9,2012,31,55,11,0.0,87.8,16.5,,5.4,19.2,,fire   ,0
22,9,2012,31,50,19,0.6,77.8,10.6,,2.4,12.9,,not fire   ,0
23,9,2012,32,54,11,0.5,73.7,7.9,,1.2,9.6,,not fire   ,0
24,9,2012,29,65,19,0.6,68.3,5.5,,1.5,5.8,,not fire   ,0
25,9,2012,26,81,21,5.8,48.6,3.0,,0.4,3.0,,not fire   ,0
26,9,2012,31,54,11,0.0,82.0,6.0,,2.5,6.2,,not fire   ,0
27,9,2012,31,66,11,0.0,85.7,8.3,,4.0,9.0,,fire   ,0
28,9,2012,32,47,14,0.7,77.5,7.1,,1.8,6.8,,not fire   ,0
29,9,2012,26,80,16,1.8,47.4,2.9,,0.3,3.0,,not fire   ,0
30,9,2012,25,78,14,1.4,45.0,1.9,,0.2,2.4,,not fire   ,0
4,6,2012,30,64,14,0.0,79.4,5.2,15.4,2.2,5.6,1.0,not fire   ,1
7,6,2012,35,44,17,0.2,85.6,9.9,28.9,5.4,10.7,6.0,fire   ,1
10,6,2012,30,41,15,0.0,89.4,13.3,22.5,8.4,13.1,10.0,fire   ,1
27,6,2012,36,55,15,0.0,89.1,20.9,43.3,8.0,20.8,12.0,fire   ,1
5,7,2012,34,45,18,0.0,90.5,18.7,46.4,11.3,18.7,15.0,fire   ,1
8,7,2012,35,47,18,6.0,80.8,9.8,9.7,3.1,9.4,3.0,fire   ,1
19,7,2012,34,58,16,0.0,88.1,27.8,61.1,7.3,27.7,13.0,fire   ,1
21,7,2012,36,29,18,0.0,93.9,39.6,80.6,18.5,39.5,30.0,fire   ,1
26,7,2012,35,58,10,0.2,78.3,10.8,19.7,1.6,10.7,1.0,not fire   ,1
28,7,2012,33,57,16,0.0,87.5,15.7,37.6,6.7,15.7,9.0,fire   ,1
17,8,2012,42,24,9,0.0,96.0,30.3,76.4,15.7,30.4,24.0,fire   ,1
20,8,2012,36,81,15,0.0,83.7,34.4,107.0,3.8,38.1,9.0,fire   ,1
30,8,2012,34,49,15,0.0,89.2,24.8,159.1,8.1,35.7,16.0,fire   ,1
1,9,2012,29,86,16,0.0,37.9,0.9,8.2,0.1,1.4,0.0,not fire   ,1
25,9,2012,28,70,15,0.0,79.9,13.8,36.1,2.4,14.1,3.0,not fire   ,1
27,9,2012,28,87,15,4.4,41.1,6.5,8.0,0.1,6.2,0.0,not fire   ,1
